entity_id	fold	country	is_singleton
S1-468038794	4	US	False
S1-429247746	4	India	False
S1-318694953	0	US	False
S1-727131296	0	India	False
S1-456377382	0	India	False
S1-500860120	3	India	False
S1-730942419	2	US	False
S1-197933727	4	US	False
S1-436534000	1	US	False
S1-729673928	3	India	False
S1-464042079	1	India	False
S1-927606012	0	US	False
S1-691536343	1	US	False
S1-490939235	0	US	False
S1-335147426	3	US	False
S1-136108516	0	US	False
S1-471102777	4	US	False
S1-821414330	2	US	False
S1-364897887	4	India	False
S1-473798535	3	US	False
S1-625376947	4	US	False
S1-682507700	2	India	False
S1-450128789	3	India	False
S1-302898270	1	US	False
S1-5992248	4	India	False
S1-181953884	3	India	False
S1-604965545	4	India	False
S1-27331103	0	US	False
S1-29059915	4	US	False
S1-312432328	2	India	False
S1-622017203	2	US	False
S1-950240304	1	India	False
S1-648758989	2	India	False
S1-326749416	0	India	False
S1-189861512	2	US	False
S1-984242478	1	US	False
S1-865865979	1	India	False
S1-374920705	1	US	False
S1-977040045	1	India	False
S1-962653404	3	India	False
S1-582661563	4	India	False
S1-165312092	2	US	False
S1-41015882	1	India	False
S1-720054099	1	US	False
S1-620165011	0	US	False
S1-222027262	0	US	False
S1-580532519	0	US	False
S1-807214720	0	India	True
S1-400916187	4	US	True
S1-691183567	2	India	False
S1-843021629	0	US	False
S1-155961357	0	US	False
S1-278570219	3	US	False
S1-433597974	2	US	False
S1-900263340	0	India	False
S1-4211020	2	US	False
S1-201305033	0	US	False
S1-875782573	4	US	False
S1-93329818	2	India	False
S1-317760343	3	India	False
S1-563244054	2	US	False
S1-27687971	3	US	False
S1-237715877	1	US	False
S1-343788303	3	US	False
S1-498943455	1	India	False
S1-605839312	3	India	False
S1-47985826	1	US	False
S1-479808359	1	US	False
S1-302288822	0	US	False
S1-280488296	0	India	False
S1-176265496	4	India	False
S1-489588128	3	US	False
S1-349896350	3	India	False
S1-110108335	4	US	False
S1-257042170	3	India	False
S1-199476457	3	India	False
S1-643639622	4	US	False
S1-351388226	3	US	False
S1-59041215	2	US	False
S1-737585105	2	US	False
S1-659907316	4	US	False
S1-59670735	2	US	False
S1-167320812	4	US	False
S1-88254305	3	India	False
S1-57764695	4	US	False
S1-954210394	1	US	False
S1-873332623	4	US	False
S1-791493115	1	US	False
S1-428676814	0	US	False
S1-158090862	4	US	False
S1-153764822	1	US	False
S1-674333859	1	US	False
S1-529701394	2	US	False
S1-429231231	4	US	False
S1-833752201	3	US	False
S1-861298065	4	US	False
S1-216834837	2	India	False
S1-736460326	4	India	True
S1-292098917	0	US	False
S1-2699002	3	US	False
S1-142179745	4	US	False
S1-508327848	3	India	False
S1-275063163	4	India	False
S1-297136440	2	US	False
S1-780819830	4	US	False
S1-17952811	0	India	False
S1-479672756	1	US	False
S1-945909299	2	US	False
S1-195325170	4	India	False
S1-743327801	2	US	False
S1-732579528	2	US	False
S1-318731893	2	India	False
S1-380688082	1	US	False
S1-698429404	0	India	False
S1-30443310	4	India	False
S1-355500020	3	US	False
S1-337615826	3	US	False
S1-745801861	1	India	False
S1-842337268	1	India	False
S1-464276491	2	US	False
S1-377359775	1	US	False
S1-464018528	0	India	False
S1-900628098	0	US	False
S1-871925429	3	US	False
S1-374494009	3	US	False
S1-35270676	2	US	False
S1-630680113	2	India	False
S1-558919893	2	US	False
S1-220353082	4	US	False
S1-624852100	0	India	False
S1-90227126	1	India	False
S1-863908676	4	India	False
S1-83186835	3	India	False
S1-716198752	3	India	False
S1-454162026	4	US	False
S1-538443156	2	US	False
S1-200574748	4	India	False
S1-809136842	4	US	False
S1-664113837	3	US	False
S1-594552098	0	US	False
S1-589916619	4	US	False
S1-760444757	4	US	False
S1-223414838	4	US	False
S1-568220288	2	India	False
S1-174659132	4	US	False
S1-546697827	2	India	False
S1-371706124	4	India	False
S1-429188163	2	US	False
S1-224116809	4	US	False
S1-520999090	3	US	False
S1-935085643	0	US	False
S1-358717680	2	US	False
S1-555676156	4	India	False
S1-448911706	4	US	False
S1-313637455	1	US	False
S1-353006598	0	India	False
S1-179594048	1	US	False
S1-703618568	3	US	False
S1-136017742	2	US	False
S1-782493657	1	US	False
S1-97495420	0	US	True
S1-242053349	0	US	False
S1-259751994	2	India	False
S1-166608121	2	US	False
S1-609022387	2	India	True
S1-820429402	0	US	False
S1-780376384	0	US	False
S1-38111598	4	India	False
S1-544992773	0	India	False
S1-744371327	1	US	False
S1-10973702	2	India	False
S1-5825614	0	US	False
S1-803396316	4	US	False
S1-524846149	2	US	False
S1-758661546	2	US	False
S1-779921639	0	US	False
S1-915240927	0	India	False
S1-256474541	4	US	False
S1-564761785	1	India	False
S1-417173564	4	US	False
S1-306501645	0	India	False
S1-904361943	3	India	False
S1-399315118	4	US	False
S1-984899008	1	US	False
S1-525118142	1	India	False
S1-918620716	2	US	False
S1-203075227	4	US	False
S1-15776406	2	US	False
S1-508895010	3	India	False
S1-658955283	3	US	False
S1-554423518	1	India	False
S1-327591795	0	US	False
S1-794911566	2	US	False
S1-554003565	1	US	False
S1-164317096	1	US	False
S1-156466532	3	US	False
S1-21699966	0	US	False
S1-672780443	3	US	False
S1-999673195	0	US	False
S1-908427913	4	US	False
S1-314841703	1	India	False
S1-740482864	2	India	False
S1-106085909	0	India	False
S1-633852711	0	India	True
S1-511498832	1	US	True
S1-166348523	1	US	False
S1-452266128	2	India	False
S1-817826426	1	US	False
S1-288198867	2	US	False
S1-523961722	1	India	False
S1-462599616	0	US	False
S1-886126282	1	India	False
S1-542567723	1	US	False
S1-364218016	2	US	False
S1-183622977	0	India	False
S1-939827357	3	India	False
S1-452576744	0	India	True
S1-47678939	4	India	False
S1-78253776	4	US	False
S1-569663814	0	US	False
S1-525682157	1	India	False
S1-404691093	3	India	False
S1-219850524	4	India	False
S1-697920789	2	US	False
S1-504813815	4	US	False
S1-787597938	4	US	False
S1-617528132	0	India	False
S1-821346128	3	India	False
S1-842777197	2	US	False
S1-844021591	2	US	False
S1-30851668	1	US	False
S1-721064576	0	US	False
S1-902194370	2	US	False
S1-325390963	1	US	False
S1-506705739	2	India	False
S1-895197735	1	US	False
S1-880290815	0	India	False
S1-290923889	1	India	False
S1-248226711	4	US	False
S1-981066091	0	US	False
S1-141284286	0	US	False
S1-554029410	2	India	False
S1-319157280	2	US	False
S1-512904863	0	US	False
S1-274029208	1	India	False
S1-125407693	3	India	True
S1-22564659	2	US	False
S1-535819518	0	US	False
S1-203625298	4	US	False
S1-535142368	1	India	False
S1-589455314	0	US	False
S1-570190074	1	US	False
S1-978386272	2	US	False
S1-596504406	3	India	False
S1-715495688	2	US	False
S1-552797928	2	US	False
S1-692965352	2	US	False
S1-694997498	0	US	False
S1-294310645	4	US	False
S1-460346254	3	US	False
S1-221248187	3	US	False
S1-430190219	2	India	False
S1-312806785	0	India	False
S1-82081401	3	US	True
S1-323009330	0	India	False
S1-535404236	4	India	False
S1-849710683	1	India	False
S1-510570728	1	India	False
S1-454058532	4	India	False
S1-788053729	4	US	False
S1-21327500	1	India	False
S1-399367777	4	India	False
S1-626530765	4	US	True
S1-334257950	0	US	False
S1-787783267	1	US	False
S1-451068494	0	India	False
S1-564917860	2	India	False
S1-978165856	3	US	False
S1-356697207	4	US	False
S1-498798336	4	US	False
S1-291057808	1	US	False
S1-95705099	1	US	False
S1-378088733	3	India	False
S1-967838283	3	India	False
S1-406861390	3	India	True
S1-844606424	2	US	False
S1-764508538	0	India	False
S1-284951999	0	US	False
S1-50177273	1	US	False
S1-733313646	4	India	True
S1-110934162	3	US	False
S1-268276105	0	US	False
S1-246407136	0	US	False
S1-480936519	0	US	False
S1-848668514	3	US	False
S1-649892128	3	India	False
S1-323435254	0	US	False
S1-167347096	1	India	False
S1-141030631	2	India	True
S1-781294367	1	US	False
S1-164114688	4	India	False
S1-437814081	0	India	False
S1-409941813	0	US	False
S1-2290893	3	US	True
S1-489714573	4	US	False
S1-609295558	0	US	False
S1-677859648	1	US	False
S1-394960298	1	US	False
S1-355215488	1	US	False
S1-380229107	0	US	False
S1-716233480	1	US	False
S1-427845664	4	US	False
S1-590646163	2	India	False
S1-815586738	3	US	False
S1-970438606	2	India	False
S1-286141583	0	India	False
S1-923478341	2	US	False
S1-618005938	0	India	False
S1-622365963	2	India	False
S1-657451327	3	US	False
S1-439712724	0	US	True
S1-955203922	1	US	False
S1-984886005	1	US	False
S1-208928099	2	US	False
S1-840982445	0	India	False
S1-683863499	4	US	False
S1-834661414	4	India	False
S1-188758554	2	US	False
S1-798513174	4	US	False
S1-810517846	4	US	False
S1-948760022	3	US	False
S1-902071836	0	India	True
S1-226166479	2	India	False
S1-970875975	3	US	False
S1-58278979	1	India	False
S1-484885407	4	India	False
S1-281845627	4	India	False
S1-118879478	4	India	False
S1-44555436	4	US	False
S1-58161364	3	India	False
S1-822060406	3	India	True
S1-722114554	4	India	False
S1-61187438	4	India	False
S1-537024691	2	US	False
S1-202052877	4	US	False
S1-153363714	4	US	True
S1-762706370	2	India	False
S1-337656963	1	US	False
S1-902874452	4	India	True
S1-348067897	3	US	False
S1-380263086	3	India	False
S1-936194080	4	US	False
S1-288384144	3	US	False
S1-89573181	3	US	False
S1-855584473	2	US	False
S1-703506855	4	US	False
S1-73212894	0	India	False
S1-497549499	4	US	False
S1-2645743	3	India	False
S1-302275540	2	US	False
S1-98479734	0	US	False
S1-621195234	0	US	False
S1-27212396	3	US	False
S1-657124739	4	US	False
S1-803458754	2	India	False
S1-900599146	4	US	False
S1-449107587	3	US	False
S1-719495550	1	US	False
S1-640269689	0	India	False
S1-55906049	1	US	False
S1-280225901	4	India	False
S1-961804934	3	US	False
S1-233857551	3	US	False
S1-741970772	3	India	False
S1-347099576	2	India	False
S1-384097976	3	US	False
S1-788007955	3	US	False
S1-920448370	0	US	False
S1-327643448	1	US	False
S1-508339550	4	India	False
S1-966246994	1	US	False
S1-201057548	3	US	False
S1-122019843	3	India	False
S1-998632843	2	India	False
S1-130660002	4	US	False
S1-321458695	2	India	False
S1-337033478	3	US	False
S1-319950263	0	India	False
S1-784287186	2	US	True
S1-484886155	2	India	False
S1-497877054	1	India	False
S1-827328299	3	US	False
S1-301574541	1	US	False
S1-941366081	4	US	False
S1-883320063	1	India	False
S1-221715677	1	US	False
S1-935931190	4	India	False
S1-428680683	1	US	False
S1-30961446	0	US	False
S1-230372639	1	US	False
S1-858409655	0	US	False
S1-142002244	1	US	True
S1-403414610	3	US	False
S1-601446439	3	US	False
S1-33816305	4	US	False
S1-214126987	4	US	False
S1-760336260	0	India	False
S1-87764463	0	US	False
S1-786980872	0	India	True
S1-625261663	1	US	False
S1-234311399	1	US	False
S1-803077693	3	US	False
S1-751628882	0	US	False
S1-105650518	3	US	False
S1-101115920	1	US	True
S1-885142221	1	India	False
S1-460520645	4	US	False
S1-769679634	2	US	False
S1-124189902	1	US	False
S1-274212094	0	US	False
S1-713246910	2	India	False
S1-638655385	4	US	False
S1-283981018	0	India	False
S1-964079026	4	US	False
S1-218391997	1	US	False
S1-726432910	2	India	False
S1-398491132	4	India	False
S1-287304274	3	India	False
S1-580824715	3	India	False
S1-485721939	3	US	False
S1-667682200	4	US	False
S1-725859202	2	US	False
S1-829980247	0	US	False
S1-176439708	0	US	False
S1-799163723	0	India	False
S1-302614689	1	India	False
S1-565625286	1	US	False
S1-553150887	0	US	False
S1-486803538	4	US	False
S1-449618252	2	US	False
S1-62861402	3	US	False
S1-811262188	4	India	False
S1-864476978	0	US	False
S1-537045487	0	India	False
S1-831250294	1	US	False
S1-268860867	3	US	False
S1-450530327	2	India	False
S1-66978240	2	India	False
S1-758946269	2	US	False
S1-925471767	2	US	False
S1-602756790	2	India	False
S1-613509611	3	India	False
S1-127486645	2	India	False
S1-325885441	0	US	False
S1-588802449	4	India	False
S1-924943770	0	US	False
S1-542765554	1	India	False
S1-849746022	3	US	False
S1-212608501	2	US	False
S1-777078976	0	US	False
S1-944000011	3	US	False
S1-694620240	1	India	False
S1-403644113	4	US	False
S1-917464666	3	US	False
S1-368810288	3	India	False
S1-933213765	3	US	False
S1-594452169	2	US	False
S1-760016314	2	US	False
S1-260328665	0	US	False
S1-386790383	3	US	False
S1-542208271	0	India	False
S1-862542851	4	India	False
S1-799917005	4	US	False
S1-581891778	0	India	False
S1-784029053	2	US	False
S1-33712362	0	US	False
S1-367582606	2	India	False
S1-101970305	1	US	True
S1-574896526	1	US	True
S1-942614710	1	US	False
S1-75930335	2	India	False
S1-21689037	3	US	True
S1-915744108	2	US	False
S1-203912585	3	India	False
S1-842792776	0	India	False
S1-986626578	3	US	False
S1-579555349	1	US	True
S1-179269957	0	US	False
S1-816598488	3	US	False
S1-664235370	0	US	True
S1-126586877	2	India	False
S1-749377303	2	US	False
S1-819758125	0	India	False
S1-390186384	3	India	False
S1-712051714	3	US	False
S1-443229725	0	India	False
S1-66664840	2	US	False
S1-409291288	2	India	True
S1-96858251	1	US	False
S1-610148768	1	US	False
S1-503641345	0	India	False
S1-284146715	3	US	False
S1-847641091	3	India	False
S1-697531524	1	US	False
S1-857112534	4	US	False
S1-919137570	2	US	False
S1-517604289	0	India	False
S1-877892806	3	India	False
S1-418898357	4	US	False
S1-941518208	0	US	False
S1-513084906	0	US	False
S1-62626361	3	US	False
S1-246473271	3	US	False
S1-81018394	0	India	False
S1-439835664	3	US	False
S1-221316590	0	US	False
S1-729438181	3	US	False
S1-348144826	3	India	False
S1-69535546	1	US	False
S1-603025844	4	India	False
S1-879516846	3	US	False
S1-432799895	0	India	False
S1-164122853	2	US	True
S1-355817318	3	US	False
S1-112769765	1	US	False
S1-838266573	1	India	False
S1-678716123	4	US	False
S1-41151535	0	India	False
S1-670428341	4	India	False
S1-533050683	3	US	False
S1-102737047	1	India	False
S1-49538275	1	US	False
S1-809546938	4	India	False
S1-232316090	1	US	False
S1-333285283	2	US	False
S1-246669447	4	US	False
S1-821815223	1	US	False
S1-978353929	3	US	False
S1-79470322	4	US	False
S1-347387610	2	US	False
S1-390833848	2	India	False
S1-384927798	2	US	False
S1-618711437	4	India	False
S1-859623790	0	US	False
S1-479469592	2	India	False
S1-563991754	1	India	False
S1-911415172	2	India	False
S1-303504248	3	US	False
S1-842785095	4	US	False
S1-408162195	4	US	False
S1-900577066	2	US	False
S1-938830142	3	US	False
S1-512619472	3	US	False
S1-36929037	1	India	True
S1-214471934	4	India	False
S1-79440677	2	US	False
S1-723530744	0	US	False
S1-566801842	0	US	False
S1-259531301	3	India	False
S1-617631900	0	US	False
S1-437098447	0	US	False
S1-836569419	1	US	False
S1-119475158	0	US	False
S1-246441600	3	US	False
S1-157806373	1	India	False
S1-726951938	1	US	False
S1-594741986	1	US	False
S1-161060430	3	US	False
S1-600808702	2	US	False
S1-430816004	4	India	False
S1-566853405	3	US	False
S1-957158811	3	US	False
S1-259058330	3	India	False
S1-400132506	3	India	False
S1-132963198	4	India	False
S1-115942100	0	US	False
S1-887276568	2	India	False
S1-658344907	4	India	False
S1-998561226	4	US	False
S1-559115625	2	US	False
S1-801590328	2	US	False
S1-181116332	2	US	True
S1-886208961	3	India	False
S1-487423883	1	US	False
S1-887305105	4	US	False
S1-434697730	0	India	False
S1-257166036	1	US	False
S1-694655970	4	US	True
S1-443154040	0	US	False
S1-250496655	3	US	False
S1-944492909	1	US	False
